Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
El Rescate,El Rescate - Single,Grupo Marca Registrada,7/22/2022,USDXS2202347,"2,528",28.2,391773238,34952.0,"16,586,286",69.0,133887895,"711,785","431,726","98,990,436",1102477168,"6,037",7.0,19,,1.0,"186,322",8.0,36067031,"3,703",,"840,393",,1
Wockesha,A GangstaÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½,Moneybagg Yo,4/23/2021,USUM72105621,"2,518",28.2,138100044,64635.0,"5,451,499",56.0,168383616,"1,456,308","30,274","13,135,047",94781829,"56,308,304",59.0,"134,739",187,4.0,"64,845",8.0,87481688,"35,657",,"1,470,349",,1
Mirame,Mirame - Single,Blessd,4/17/2024,QZZ3N2400057,"2,532",28.2,24345826,1758.0,"36,846,830",72.0,22781812,"162,339",,,0,"22,448,661",21.0,334,,11.0,"1,615,702",10.0,69725,41,,"155,799",,1
Pantysito,Pantysito,Alejo,3/18/2022,USUG12201485,"2,526",28.2,332175085,63085.0,"23,635,638",66.0,119541325,"763,188","378,000","93,005,063",866018385,"213,451,655",37.0,"20,428",108,17.0,"1,616,786",36.0,3756960,524,,"616,074",,1
brutal,SOUR,Olivia Rodrigo,5/21/2021,USUG12101242,"2,524",28.2,639900946,87550.0,"20,272,841",73.0,147309966,"3,536,634","180,855","114,118,319",774173668,"56,822,531",41.0,"8,153",85,8.0,"43,721",21.0,17091110,"32,850","278,311","820,892",,1
Recognize (feat. Drake),PARTYNEXTDOOR TWO,PARTYNEXTDOOR,7/29/2014,USWB11401866,"2,531",28.2,275465440,58725.0,"10,964,599",65.0,290207058,"1,533,113","64,277","8,127,616",53454696,"12,422,822",30.0,334,8,14.0,"2,315",7.0,305888690,"68,800","140,184,475","2,030,167",,1
Daylight,For All The Dogs,Drake,10/6/2023,USUG12306070,"2,521",28.2,78417212,26088.0,"13,353,722",,4514270,"53,581","4,865","4,204,924",38589807,,7.0,374,43,0.0,,0.0,1294581,"1,122","2,871,573","152,693",,1
Lovefool,Lovefool,twocolors,5/8/2020,DEUM72001376,"2,519",28.2,359757970,73161.0,"29,218,709",62.0,216865947,"1,581,781","621,587","49,479,727",658030330,"25,128,259",149.0,"181,538",,65.0,"2,659,118",8.0,33047274,"4,223",,"4,918,636",,0
Rich Flex,Her Loss,Drake,11/3/2022,USUG12208614,"2,520",28.2,811888874,5471.0,"1,026,240",46.0,34057109,"415,396",,,0,,23.0,"224,115",,0.0,,0.0,0,,,,,0
MEMORIAS,Microdosis,Mora,4/1/2022,QM4TX2252943,"2,527",28.2,359336745,67125.0,"16,316,500",70.0,143505182,"823,971","20,600","9,094,523",82205989,"340,159,905",38.0,"8,665",170,4.0,"54,118",14.0,367017,319,,"868,434",,0
Mood Malandro,Mood Malandro,CÃ¯Â¿Â½Ã¯Â¿Â½dig,8/24/2023,QM3DF2276204,"2,538",28.1,188309858,15111.0,"13,192,945",71.0,87069499,"318,350",100,"1,927",18855,,6.0,4,,7.0,"582,040",3.0,3910844,"1,376",,"422,023",,0
JACKIE BROWN,WASTELAND,Brent Faiyaz,7/8/2022,QM24S2203177,"2,542",28.1,247386146,57298.0,"14,371,239",70.0,48937559,"461,922","25,012","12,211,067",119045728,"129,119,126",21.0,"2,377",553,5.0,"494,840",1.0,13188304,"5,989","7,098,189","1,184,981",,1
TELEFONO NUEVO,nadie sabe lo que va a pasar maÃ¯Â¿Â½Ã¯Â¿,Bad Bunny,10/13/2023,QMFME2364190,"2,544",28.1,101706440,22195.0,"4,712,903",,37327301,"496,072",608,"1,421,099",11568535,,12.0,893,,0.0,,3.0,2910823,708,,"304,399",,1
DanÃ¯Â¿Â½Ã¯Â¿Â½a Ma,DanÃ¯Â¿Â½Ã¯Â¿Â½a Ma,Bolofofos,5/3/2019,CAHQJ1924665,"2,536",28.1,10423140,1820.0,"350,049",49.0,1126576126,"2,223,950","3,453","49,425",3059373,16,0.0,,,0.0,,0.0,0,,,"9,247",,0
Kalkatiya Raja,Kalkatiya Raja,Pawan Singh,9/22/2023,DGA092395791,"2,545",28.1,8607782,231.0,"175,674",,171883395,"997,466",,"2,661",36029,,0.0,,,0.0,,0.0,0,,,"14,483",,0
Drippy,Drippy,Sidhu Moose Wala,2/2/2024,INU252412475,"2,537",28.1,39891157,2503.0,"5,333,908",,68785789,"2,273,476",,,0,"238,867,734",6.0,165,,0.0,,14.0,0,,,"67,474",,1
Never Going Home,Summer 2021,Kungs,4/28/2021,FR9W12110749,"2,539",28.1,304069347,89224.0,"17,836,102",63.0,87407927,"580,798","20,117","6,207,518",94926621,"80,707,655",89.0,"117,243",24,53.0,"959,302",18.0,675312,417,"948,433","5,206,645",,0
ProblemÃ¯Â¿Â½,ProblemÃ¯Â¿Â½,Alvaro Diaz,10/22/2021,USUM72118879,"2,548",28.1,275492185,47297.0,"14,033,837",68.0,104950820,"697,838","1,698,681","279,415,195",-2147483648,"31,265,536",35.0,"6,549",2,13.0,"759,534",14.0,7459382,848,,"779,473",,0
Waiting for the End,Papercuts,Linkin Park,4/12/2024,USWB12401899,"2,541",28.1,160127218,5.0,55,,0,,,,0,,0.0,,,0.0,,0.0,0,,,"1,451,466",,0
Pacto (feat. Luar La L),Pacto (feat. Luar La L),Jay Wheeler,4/24/2023,USUYG1480456,"2,547",28.1,58652026,19596.0,"3,713,869",54.0,74399520,"458,583","508,800","31,900,743",344636407,"9,720,627",14.0,66,6,2.0,"9,119",2.0,4123989,"2,062","1,875,071","397,215",,1
